50 x 30,3.2,3.61,4.6,12.6,6.38,14.2,6.2,1.76,1.16,5.68,4.13,7.25,5,14.2,6.8,0.152,42.1
60 x 40,3,4.35,5.54,17,10.3,26.5,13.9,2.18,1.58,8.82,6.95,10.9,8.19,29.2,11.2,0.192,44.1
60 x 40,4,5.64,7.19,12,7,32.8,17,2.14,1.54,10.9,8.52,13.8,10.3,36.7,13.7,0.19,33.7
60 x 40,5,6.85,8.73,9,5,38.1,19.5,2.09,1.5,12.7,9.77,16.4,12.2,43,15.7,0.187,27.3
80 x 40,3.2,5.62,7.16,22,9.5,57.2,18.9,2.83,1.63,14.3,9.46,18,11,46.2,16.1,0.232,41.3
80 x 40,4,6.9,8.79,17,7,68.2,22.2,2.79,1.59,17.1,11.1,21.8,13.2,55.2,18.9,0.23,33.3
80 x 40,5,8.42,10.7,13,5,80.3,25.7,2.74,1.55,20.1,12.9,26.1,15.7,65.1,21.9,0.227,27
80 x 40,6.3,10.3,13.1,9.7,3.35,93.3,29.2,2.67,1.49,23.3,14.6,31.1,18.4,75.6,24.8,0.224,21.7
80 x 40,8,12.5,16,7,2,106,32.1,2.58,1.42,26.5,16.1,36.5,21.2,85.8,27.4,0.219,17.5
90 x 50,3.6,7.4,9.42,22,10.9,98.3,38.7,3.23,2.03,21.8,15.5,27.2,18,89.4,25.9,0.271,36.6
90 x 50,5,9.99,12.7,15,7,127,49.2,3.16,1.97,28.3,19.7,36,23.5,116,32.9,0.267,26.7
90 x 50,6.3,12.3,15.6,11.3,4.94,150,57,3.1,1.91,33.3,22.8,43.2,28,138,38.1,0.264,21.5
100 x 50,3,6.71,8.54,30.3,13.7,110,36.8,3.58,2.08,21.9,14.7,27.3,16.8,88.4,25,0.292,43.5
100 x 50,3.2,7.13,9.08,28.3,12.6,116,38.8,3.57,2.07,23.2,15.5,28.9,17.7,93.4,26.4,0.292,41
100 x 50,4,8.78,11.2,22,9.5,140,46.2,3.53,2.03,27.9,18.5,35.2,21.5,113,31.4,0.29,33
100 x 50,5,10.8,13.7,17,7,167,54.3,3.48,1.99,33.3,21.7,42.6,25.8,135,36.9,0.287,26.6
100 x 50,6.3,13.3,16.9,12.9,4.94,197,63,3.42,1.93,39.4,25.2,51.3,30.8,160,42.9,0.284,21.4
100 x 50,8,16.3,20.8,9.5,3.25,230,71.7,3.33,1.86,46,28.7,61.4,36.3,186,48.9,0.279,17.1
100 x 60,3.6,8.53,10.9,24.8,13.7,145,64.8,3.65,2.44,28.9,21.6,35.6,24.9,142,35.6,0.311,36.5
100 x 60,5,11.6,14.7,17,9,189,83.6,3.58,2.38,37.8,27.9,47.4,32.9,188,45.9,0.307,26.5
100 x 60,6.3,14.2,18.1,12.9,6.52,225,98.1,3.52,2.33,45,32.7,57.3,39.5,224,53.8,0.304,21.4
100 x 60,8,17.5,22.4,9.5,4.5,264,113,3.44,2.25,52.8,37.8,68.7,47.1,265,62.2,0.299,17.1
120 x 60,3.6,9.66,12.3,30.3,13.7,227,76.3,4.3,2.49,37.9,25.4,47.2,28.9,183,43.3,0.351,36.3
120 x 60,5,13.1,16.7,21,9,299,98.8,4.23,2.43,49.9,32.9,63.1,38.4,242,56,0.347,26.5
120 x 60,6.3,16.2,20.7,16,6.52,358,116,4.16,2.37,59.7,38.8,76.7,46.3,290,65.9,0.344,21.2
120 x 60,8,20.1,25.6,12,4.5,425,135,4.08,2.3,70.8,45,92.7,55.4,344,76.6,0.339,16.9
120 x 80,5,14.7,18.7,21,13,365,193,4.42,3.21,60.9,48.2,74.6,56.1,401,77.9,0.387,26.3
120 x 80,6.3,18.2,23.2,16,9.7,440,230,4.36,3.15,73.3,57.6,91,68.2,487,92.9,0.384,21.1
120 x 80,8,22.6,28.8,12,7,525,273,4.27,3.08,87.5,68.1,111,82.6,587,110,0.379,16.8
120 x 80,10,27.4,34.9,9,5,609,313,4.18,2.99,102,78.1,131,97.3,688,126,0.374,13.6
150 x 100,5,18.6,23.7,27,17,739,392,5.58,4.07,98.5,78.5,119,90.1,807,127,0.487,26.2
150 x 100,6.3,23.1,29.5,20.8,12.9,898,474,5.52,4.01,120,94.8,147,110,986,153,0.484,21
150 x 100,8,28.9,36.8,15.8,9.5,1090,569,5.44,3.94,145,114,180,135,1200,183,0.479,16.6
150 x 100,10,35.3,44.9,12,7,1280,665,5.34,3.85,171,133,216,161,1430,214,0.474,13.4
150 x 100,12.5,42.8,54.6,9,5,1490,763,5.22,3.74,198,153,256,190,1680,246,0.468,10.9
150 x 125,4,16.6,21.2,34.5,28.3,714,539,5.8,5.04,95.2,86.3,112,98.9,949,133,0.54,32.5
150 x 125,5,20.6,26.2,27,22,870,656,5.76,5,116,105,138,121,1160,162,0.537,26.1
150 x 125,6.3,25.6,32.6,20.8,16.8,1060,798,5.7,4.94,141,128,169,149,1430,196,0.534,20.9
150 x 125,8,32,40.8,15.8,12.6,1290,966,5.62,4.87,172,155,208,183,1750,237,0.529,16.5
150 x 125,10,39.2,49.9,12,9.5,1530,1140,5.53,4.78,204,183,251,221,2100,279,0.524,13.4
150 x 125,12.5,47.7,60.8,9,7,1780,1330,5.42,4.67,238,212,299,262,2490,324,0.518,10.9
160 x 80,4,14.4,18.4,37,17,612,207,5.77,3.35,76.5,51.7,94.7,58.3,493,88.1,0.47,32.6
160 x 80,5,17.8,22.7,29,13,744,249,5.72,3.31,93,62.3,116,71.1,600,106,0.467,26.2
160 x 80,6.3,22.2,28.2,22.4,9.7,903,299,5.66,3.26,113,74.8,142,86.8,730,127,0.464,20.9
160 x 80,8,27.6,35.2,17,7,1090,356,5.57,3.18,136,89,175,106,883,151,0.459,16.6
160 x 80,10,33.7,42.9,13,5,1280,411,5.47,3.1,161,103,209,125,1040,175,0.454,13.5
200 x 100,5,22.6,28.7,37,17,1500,505,7.21,4.19,149,101,185,114,1200,172,0.587,26
200 x 100,6.3,28.1,35.8,28.7,12.9,1830,613,7.15,4.14,183,123,228,140,1480,208,0.584,20.8
200 x 100,8,35.1,44.8,22,9.5,2230,739,7.06,4.06,223,148,282,172,1800,251,0.579,16.5
200 x 100,10,43.1,54.9,17,7,2660,869,6.96,3.98,266,174,341,206,2160,295,0.574,13.3
200 x 100,12.5,52.7,67.1,13,5,3140,1000,6.84,3.87,314,201,408,245,2540,341,0.568,10.8
200 x 120,5,24.1,30.7,37,21,1690,762,7.4,4.98,168,127,205,144,1650,210,0.627,26
200 x 120,6.3,30.1,38.3,28.7,16,2070,929,7.34,4.92,207,155,253,177,2030,255,0.624,20.7
200 x 120,8,37.6,48,22,12,2530,1130,7.26,4.85,253,188,313,218,2500,310,0.619,16.5
200 x 120,10,46.3,58.9,17,9,3030,1340,7.17,4.76,303,223,379,263,3000,367,0.614,13.3
200 x 120,14.2,63.3,80.7,11.1,5.45,3910,1690,6.96,4.58,391,282,503,346,3920,464,0.603,9.53
200 x 150,8,41.4,52.8,22,15.8,2970,1890,7.5,5.99,297,253,359,294,3640,398,0.679,16.4
200 x 150,10,51,64.9,17,12,3570,2260,7.41,5.91,357,302,436,356,4410,475,0.674,13.2
250 x 120,10,54.1,68.9,22,9,5310,1640,8.78,4.88,425,273,539,318,4090,468,0.714,13.2
250 x 120,12.5,66.4,84.6,17,6.6,6330,1930,8.65,4.77,506,321,651,381,4880,549,0.708,10.7
250 x 120,14.2,74.5,94.9,14.6,5.45,6960,2090,8.56,4.7,556,349,722,421,5360,597,0.703,9.44
250 x 150,5,30.4,38.7,47,27,3360,1530,9.31,6.28,269,204,324,228,3280,337,0.787,25.9
250 x 150,6.3,38,48.4,36.7,20.8,4140,1870,9.25,6.22,331,250,402,283,4050,413,0.784,20.6
250 x 150,8,47.7,60.8,28.3,15.8,5110,2300,9.17,6.15,409,306,501,350,5020,506,0.779,16.3
250 x 150,10,58.8,74.9,22,12,6170,2760,9.08,6.06,494,367,611,426,6090,605,0.774,13.2
250 x 150,12.5,72.3,92.1,17,9,7390,3270,8.96,5.96,591,435,740,514,7330,717,0.768,10.6
250 x 150,14.2,81.1,103,14.6,7.56,8140,3580,8.87,5.88,651,477,823,570,8100,784,0.763,9.41
250 x 150,16,90.3,115,12.6,6.38,8880,3870,8.79,5.8,710,516,906,625,8870,849,0.759,8.41
250 x 200,10,66.7,84.9,22,17,7610,5370,9.47,7.95,609,537,731,626,9890,835,0.874,13.1
250 x 200,12.5,82.1,105,17,13,9150,6440,9.35,7.85,732,644,888,760,12000,997,0.868,10.6
250 x 200,14.2,92.3,118,14.6,11.1,10100,7100,9.28,7.77,809,710,990,846,13300,1100,0.863,9.35
