40 x 40,3,3.41,4.34,10.3,9.78,1.5,4.89,5.97,15.7,7.1,0.152,44.7
40 x 40,3.2,3.61,4.6,9.5,10.2,1.49,5.11,6.28,16.5,7.42,0.152,42
40 x 40,4,4.39,5.59,7,11.8,1.45,5.91,7.44,19.5,8.54,0.15,34.1
40 x 40,5,5.28,6.73,5,13.4,1.41,6.68,8.66,22.5,9.6,0.147,27.8
50 x 50,3,4.35,5.54,13.7,20.2,1.91,8.08,9.7,32.1,11.8,0.192,44.2
50 x 50,3.2,4.62,5.88,12.6,21.2,1.9,8.49,10.2,33.8,12.4,0.192,41.5
50 x 50,4,5.64,7.19,9.5,25,1.86,9.99,12.3,40.4,14.5,0.19,33.6
50 x 50,5,6.85,8.73,7,28.9,1.82,11.6,14.5,47.6,16.7,0.187,27.3
50 x 50,6.3,8.31,10.6,4.94,32.8,1.76,13.1,17,55.2,18.8,0.184,22.1
60 x 60,3,5.29,6.74,17,36.2,2.32,12.1,14.3,56.9,17.7,0.232,43.9
60 x 60,3.2,5.62,7.16,15.8,38.2,2.31,12.7,15.2,60.2,18.6,0.232,41.2
60 x 60,4,6.9,8.79,12,45.4,2.27,15.1,18.3,72.5,22,0.23,33.3
60 x 60,5,8.42,10.7,9,53.3,2.23,17.8,21.9,86.4,25.7,0.227,27
60 x 60,6.3,10.3,13.1,6.52,61.6,2.17,20.5,26,102,29.6,0.224,21.7
60 x 60,8,12.5,16,4.5,69.7,2.09,23.2,30.4,118,33.4,0.219,17.5
70 x 70,3.6,7.4,9.42,16.4,68.6,2.7,19.6,23.3,108,28.7,0.271,36.6
70 x 70,5,9.99,12.7,11,88.5,2.64,25.3,30.8,142,36.8,0.267,26.7
70 x 70,6.3,12.3,15.6,8.11,104,2.58,29.7,36.9,169,42.9,0.264,21.5
70 x 70,8,15,19.2,5.75,120,2.5,34.2,43.8,200,49.2,0.259,17.3
80 x 80,3.6,8.53,10.9,19.2,105,3.11,26.2,31,164,38.5,0.311,36.4
80 x 80,4,9.41,12,17,114,3.09,28.6,34,180,41.9,0.31,32.9
80 x 80,5,11.6,14.7,13,137,3.05,34.2,41.1,217,49.8,0.307,26.6
80 x 80,6.3,14.2,18.1,9.7,162,2.99,40.5,49.7,262,58.7,0.304,21.3
80 x 80,8,17.5,22.4,7,189,2.91,47.3,59.5,312,68.3,0.299,17.1
90 x 90,3.6,9.66,12.3,22,152,3.52,33.8,39.7,237,49.7,0.351,36.3
90 x 90,4,10.7,13.6,19.5,166,3.5,37,43.6,260,54.2,0.35,32.8
90 x 90,5,13.1,16.7,15,200,3.45,44.4,53,316,64.8,0.347,26.4
90 x 90,6.3,16.2,20.7,11.3,238,3.4,53,64.3,382,77,0.344,21.2
90 x 90,8,20.1,25.6,8.25,281,3.32,62.6,77.6,459,90.5,0.339,16.9
100 x 100,4,11.9,15.2,22,232,3.91,46.4,54.4,361,68.2,0.39,32.7
100 x 100,5,14.7,18.7,17,279,3.86,55.9,66.4,439,81.8,0.387,26.3
100 x 100,6.3,18.2,23.2,12.9,336,3.8,67.1,80.9,534,97.8,0.384,21.1
100 x 100,8,22.6,28.8,9.5,400,3.73,79.9,98.2,646,116,0.379,16.8
100 x 100,10,27.4,34.9,7,462,3.64,92.4,116,761,133,0.374,13.6
120 x 120,5,17.8,22.7,21,498,4.68,83,97.6,777,122,0.467,26.2
120 x 120,6.3,22.2,28.2,16,603,4.62,100,120,950,147,0.464,20.9
120 x 120,8,27.6,35.2,12,726,4.55,121,146,1160,176,0.459,16.6
120 x 120,10,33.7,42.9,9,852,4.46,142,175,1380,206,0.454,13.5
120 x 120,12.5,40.9,52.1,6.6,982,4.34,164,207,1620,236,0.448,11
140 x 140,5,21,26.7,25,807,5.5,115,135,1250,170,0.547,26.1
140 x 140,6.3,26.1,33.3,19.2,984,5.44,141,166,1540,206,0.544,20.8
140 x 140,8,32.6,41.6,14.5,1200,5.36,171,204,1890,249,0.539,16.5
140 x 140,10,40,50.9,11,1420,5.27,202,246,2270,294,0.534,13.4
140 x 140,12.5,48.7,62.1,8.2,1650,5.16,236,293,2700,342,0.528,10.8
150 x 150,5,22.6,28.7,27,1000,5.9,134,156,1550,197,0.587,26
150 x 150,6.3,28.1,35.8,20.8,1220,5.85,163,192,1910,240,0.584,20.8
150 x 150,8,35.1,44.8,15.8,1490,5.77,199,237,2350,291,0.579,16.5
150 x 150,10,43.1,54.9,12,1770,5.68,236,286,2830,344,0.574,13.3
150 x 150,12.5,52.7,67.1,9,2080,5.57,277,342,3380,402,0.568,10.8
160 x 160,5,24.1,30.7,29,1230,6.31,153,178,1890,226,0.627,26
160 x 160,6.3,30.1,38.3,22.4,1500,6.26,187,220,2330,275,0.624,20.7
160 x 160,8,37.6,48,17,1830,6.18,229,272,2880,335,0.619,16.5
160 x 160,10,46.3,58.9,13,2190,6.09,273,329,3480,398,0.614,13.3
160 x 160,12.5,56.6,72.1,9.8,2580,5.98,322,395,4160,467,0.608,10.7
160 x 160,14.2,63.3,80.7,8.27,2810,5.9,351,436,4580,508,0.603,9.53
180 x 180,6.3,34,43.3,25.6,2170,7.07,241,281,3360,355,0.704,20.7
180 x 180,8,42.7,54.4,19.5,2660,7,296,349,4160,434,0.699,16.4
180 x 180,10,52.5,66.9,15,3190,6.91,355,424,5050,518,0.694,13.2
180 x 180,12.5,64.4,82.1,11.4,3790,6.8,421,511,6070,613,0.688,10.7
180 x 180,14.2,72.2,92,9.68,4150,6.72,462,566,6710,670,0.683,9.46
180 x 180,16,80.2,102,8.25,4500,6.64,500,621,7340,724,0.679,8.46
200 x 200,5,30.4,38.7,37,2450,7.95,245,283,3760,362,0.787,25.9
200 x 200,6.3,38,48.4,28.7,3010,7.89,301,350,4650,444,0.784,20.6
200 x 200,8,47.7,60.8,22,3710,7.81,371,436,5780,545,0.779,16.3
200 x 200,10,58.8,74.9,17,4470,7.72,447,531,7030,655,0.774,13.2
200 x 200,12.5,72.3,92.1,13,5340,7.61,534,643,8490,778,0.768,10.6
200 x 200,14.2,81.1,103,11.1,5870,7.54,587,714,9420,854,0.763,9.41
200 x 200,16,90.3,115,9.5,6390,7.46,639,785,10300,927,0.759,8.4
250 x 250,6.3,47.9,61,36.7,6010,9.93,481,556,9240,712,0.984,20.5
250 x 250,8,60.3,76.8,28.3,7460,9.86,596,694,11500,880,0.979,16.3
250 x 250,10,74.5,94.9,22,9060,9.77,724,851,14100,1070,0.974,13.1
250 x 250,12.5,91.9,117,17,10900,9.66,873,1040,17200,1280,0.968,10.5
250 x 250,14.2,103,132,14.6,12100,9.58,967,1160,19100,1410,0.963,9.31
250 x 250,16,115,147,12.6,13300,9.5,1060,1280,21100,1550,0.959,8.31
260 x 260,6.3,49.9,63.5,38.3,6790,10.3,522,603,10400,773,1.02,20.5
260 x 260,8,62.8,80,29.5,8420,10.3,648,753,13000,956,1.02,16.2
260 x 260,10,77.7,98.9,23,10200,10.2,788,924,15900,1160,1.01,13.1
260 x 260,12.5,95.8,122,17.8,12400,10.1,951,1130,19400,1390,1.01,10.5
260 x 260,14.2,108,137,15.3,13700,9.99,1060,1260,21700,1540,1,9.3
260 x 260,16,120,153,13.3,15100,9.91,1160,1390,23900,1690,0.999,8.29
300 x 300,6.3,57.8,73.6,44.6,10500,12,703,809,16100,1040,1.18,20.5
300 x 300,8,72.8,92.8,34.5,13100,11.9,875,1010,20200,1290,1.18,16.2
300 x 300,10,90.2,115,27,16000,11.8,1070,1250,24800,1580,1.17,13
300 x 300,12.5,112,142,21,19400,11.7,1300,1530,30300,1900,1.17,10.5
300 x 300,14.2,126,160,18.1,21600,11.6,1440,1710,33900,2110,1.16,9.25
300 x 300,16,141,179,15.8,23900,11.5,1590,1900,37600,2330,1.16,8.25
